DEPTH_MEAN	tool	RMSE_mean	MS_mean
30	CLEMENT_decision	0.37	62.39 (134.0-166.5% ↑)
30	pyclonevi	2.95	37.48
30	quantumclone	2.6	41.24
30	sciclone	1.92	46.57
125	CLEMENT_decision	0.4	69.02 (133.1-146.0% ↑)
125	pyclonevi	2.28	48.32
125	quantumclone	2.34	51.86
125	sciclone	1.95	47.28
250	CLEMENT_decision	0.41	69.52 (136.6-148.2% ↑)
250	pyclonevi	2.22	50.88
250	quantumclone	3.46	47.92
250	sciclone	1.9	46.91
