DEPTH_MEAN	tool	RMSE_mean	MS_mean
30	CLEMENT_decision	1.25	62.13 (101.3-106.5% ↑)
30	pyclonevi	1.95	58.36
30	quantumclone	1.09	60.51
30	sciclone	1.43	61.35
125	CLEMENT_decision	0.66	73.21 (110.2-113.3% ↑)
125	pyclonevi	1.81	66.43
125	quantumclone	1.75	64.59
125	sciclone	1.56	64.94
250	CLEMENT_decision	0.78	77.91 (107.1-111.2% ↑)
250	pyclonevi	1.5	72.74
250	quantumclone	2.33	70.08
250	sciclone	1.37	72.06
