DEPTH_MEAN	tool	RMSE_mean	MS_mean
30	CLEMENT_decision	1.29	66.39 (94.5-101.6% ↑)
30	pyclonevi	1.77	65.36
30	quantumclone	1.0	70.28
30	sciclone	1.39	68.54
125	CLEMENT_decision	0.78	79.99 (105.7-107.9% ↑)
125	pyclonevi	1.78	74.91
125	quantumclone	1.42	75.66
125	sciclone	1.46	74.1
250	CLEMENT_decision	0.46	86.31 (105.3-107.3% ↑)
250	pyclonevi	1.28	81.93
250	quantumclone	1.63	80.47
250	sciclone	1.14	80.44
