DEPTH_MEAN	tool	RMSE_mean	MS_mean
30	CLEMENT_decision	1.58	54.48 (96.7-103.2% ↑)
30	pyclonevi	1.56	52.79
30	quantumclone	1.81	55.34
30	sciclone	1.68	56.36
125	CLEMENT_decision	1.38	64.82 (108.3-114.0% ↑)
125	pyclonevi	1.62	59.87
125	quantumclone	2.17	56.84
125	sciclone	1.58	59.74
250	CLEMENT_decision	1.74	70.96 (108.7-116.6% ↑)
250	pyclonevi	1.26	65.29
250	quantumclone	2.72	60.87
250	sciclone	1.25	64.34
