DEPTH_MEAN	tool	RMSE_mean	MS_mean
30	CLEMENT_decision	0.89	713.94 (103.7-117.2% ↑)
30	pyclonevi	2.0	609.22
30	quantumclone	2.07	621.56
30	sciclone	1.66	688.44
125	CLEMENT_decision	0.65	764.78 (109.1-115.9% ↑)
125	pyclonevi	1.61	659.95
125	quantumclone	1.56	701.06
125	sciclone	1.42	693.33
250	CLEMENT_decision	0.67	816.33 (115.9-120.0% ↑)
250	pyclonevi	1.65	680.22
250	quantumclone	1.81	703.61
250	sciclone	1.43	704.22
