DEPTH_MEAN	tool	RMSE_mean	MS_mean
30	CLEMENT_decision	0.57	75.76 (117.4-154.1% ↑)
30	pyclonevi	2.87	49.16
30	quantumclone	2.57	52.76
30	sciclone	1.87	64.52
125	CLEMENT_decision	0.27	81.23 (116.2-125.0% ↑)
125	pyclonevi	2.09	65.01
125	quantumclone	2.03	65.97
125	sciclone	1.62	69.93
250	CLEMENT_decision	0.18	83.17 (119.0-131.6% ↑)
250	pyclonevi	2.02	65.44
250	quantumclone	2.67	63.21
250	sciclone	1.65	69.91
