DEPTH_MEAN	tool	RMSE_mean	MS_mean
30	CLEMENT_decision	0.97	581.83 (130.4-147.1% ↑)
30	pyclonevi	2.54	395.44
30	quantumclone	2.32	406.83
30	sciclone	1.77	446.11
125	CLEMENT_decision	0.55	700.06 (137.4-148.2% ↑)
125	pyclonevi	2.29	483.83
125	quantumclone	2.01	509.33
125	sciclone	1.85	472.5
250	CLEMENT_decision	0.68	702.16 (140.2-146.6% ↑)
250	pyclonevi	2.17	500.72
250	quantumclone	2.96	479.06
250	sciclone	1.9	486.17
