DEPTH_MEAN	tool	RMSE_mean	MS_mean
30	CLEMENT_decision	1.56	60.26 (95.3-100.1% ↑)
30	pyclonevi	1.64	60.21
30	quantumclone	1.65	63.26
30	sciclone	1.69	63.21
125	CLEMENT_decision	1.27	71.4 (105.8-110.6% ↑)
125	pyclonevi	1.33	67.46
125	quantumclone	1.96	64.54
125	sciclone	1.48	67.49
250	CLEMENT_decision	1.25	80.19 (109.4-117.6% ↑)
250	pyclonevi	1.31	73.28
250	quantumclone	2.81	68.16
250	sciclone	1.23	72.1
