NUM_MUTATION	tool	RMSE_mean	MS_mean
100	CLEMENT_decision	1.84	73.34 (105.3-118.2% ↑)
100	pyclonevi	1.65	69.68
100	quantumclone	3.32	62.05
100	sciclone	1.47	63.66
100	simpleK_elbow	2.7	63.34
500	CLEMENT_decision	1.2	74.09 (109.7-119.4% ↑)
500	pyclonevi	1.54	67.55
500	quantumclone	3.28	62.06
500	sciclone	1.44	62.61
500	simpleK_elbow	2.39	61.8
1000	CLEMENT_decision	1.0	75.69 (109.7-121.9% ↑)
1000	pyclonevi	1.9	69.0
1000	quantumclone	3.3	62.08
1000	sciclone	1.54	63.67
1000	simpleK_elbow	2.63	62.97
