NUM_BLOCK	tool	RMSE_mean	MS_mean
1	CLEMENT_decision	0.15	75.08 (98.9-99.5% ↑)
1	pyclonevi	0.88	75.42
1	quantumclone	0.86	75.88
1	sciclone	0.89	75.42
1	simpleK_elbow	0.64	68.35
2	CLEMENT_decision	0.41	86.64 (105.4-108.5% ↑)
2	pyclonevi	1.26	82.23
2	quantumclone	1.71	79.84
2	sciclone	1.2	80.16
2	simpleK_elbow	1.24	77.59
3	CLEMENT_decision	0.49	88.02 (105.6-113.4% ↑)
3	pyclonevi	1.19	83.35
3	quantumclone	3.39	77.6
3	sciclone	1.15	78.18
3	simpleK_elbow	1.52	77.68
