NUM_BLOCK	tool	RMSE_mean	MS_mean
1	CLEMENT_decision	1.55	62.2 (98.6-100.1% ↑)
1	pyclonevi	0.91	62.92
1	quantumclone	1.62	63.1
1	sciclone	1.07	62.15
1	simpleK_elbow	0.98	56.28
2	CLEMENT_decision	1.83	64.66 (121.6-134.7% ↑)
2	pyclonevi	2.15	53.19
2	quantumclone	3.48	47.99
2	sciclone	2.21	51.55
2	simpleK_elbow	1.97	55.01
3	CLEMENT_decision	1.2	74.09 (109.7-119.4% ↑)
3	pyclonevi	1.54	67.55
3	quantumclone	3.28	62.06
3	sciclone	1.44	62.61
3	simpleK_elbow	2.39	61.8
