NUM_BLOCK	tool	RMSE_mean	MS_mean
1	CLEMENT_decision	1.54	68.6 (100.1-101.9% ↑)
1	pyclonevi	1.03	67.75
1	quantumclone	1.6	68.5
1	sciclone	1.11	67.35
1	simpleK_elbow	1.0	60.25
2	CLEMENT_decision	1.1	81.26 (116.0-127.3% ↑)
2	pyclonevi	1.64	70.03
2	quantumclone	3.18	63.81
2	sciclone	1.69	68.14
2	simpleK_elbow	1.58	68.26
3	CLEMENT_decision	1.03	82.14 (106.7-117.4% ↑)
3	pyclonevi	1.18	76.99
3	quantumclone	3.13	69.94
3	sciclone	1.13	71.68
3	simpleK_elbow	2.35	69.66
