NUM_MUTATION	tool	RMSE_mean	MS_mean
100	CLEMENT_decision	1.37	71.96 (104.9-109.7% ↑)
100	pyclonevi	1.05	68.57
100	quantumclone	1.64	65.61
100	sciclone	1.37	65.71
500	CLEMENT_decision	1.27	71.4 (105.8-110.6% ↑)
500	pyclonevi	1.33	67.46
500	quantumclone	1.96	64.54
500	sciclone	1.48	67.49
1000	CLEMENT_decision	1.03	73.97 (103.3-107.1% ↑)
1000	pyclonevi	1.73	70.88
1000	quantumclone	1.52	69.05
1000	sciclone	1.23	71.64
