NUM_MUTATION	tool	RMSE_mean	MS_mean
100	CLEMENT_decision	0.37	70.94 (125.7-137.6% ↑)
100	pyclonevi	2.65	54.17
100	quantumclone	2.58	56.44
100	sciclone	2.62	51.56
500	CLEMENT_decision	0.14	71.12 (122.2-137.2% ↑)
500	pyclonevi	2.51	54.96
500	quantumclone	2.28	58.22
500	sciclone	2.47	51.83
1000	CLEMENT_decision	0.24	69.24 (126.4-132.6% ↑)
1000	pyclonevi	2.6	52.22
1000	quantumclone	2.41	54.8
1000	sciclone	2.46	54.26
