NUM_MUTATION	tool	RMSE_mean	MS_mean
100	CLEMENT_decision	0.58	69.11 (135.2-144.0% ↑)
100	pyclonevi	2.24	48.22
100	quantumclone	2.18	51.11
100	sciclone	1.66	48.0
500	CLEMENT_decision	0.4	69.02 (133.1-146.0% ↑)
500	pyclonevi	2.28	48.32
500	quantumclone	2.34	51.86
500	sciclone	1.95	47.28
1000	CLEMENT_decision	0.44	68.39 (139.4-146.8% ↑)
1000	pyclonevi	2.28	48.28
1000	quantumclone	2.55	49.06
1000	sciclone	1.99	46.59
