NUM_MUTATION	tool	RMSE_mean	MS_mean
100	CLEMENT_decision	0.62	76.67 (124.0-134.1% ↑)
100	pyclonevi	1.99	57.56
100	quantumclone	2.41	57.17
100	sciclone	1.72	61.83
500	CLEMENT_decision	0.25	78.54 (126.6-133.7% ↑)
500	pyclonevi	2.13	58.73
500	quantumclone	2.58	61.02
500	sciclone	1.46	62.02
1000	CLEMENT_decision	0.31	79.43 (126.6-136.5% ↑)
1000	pyclonevi	2.04	58.21
1000	quantumclone	2.98	59.86
1000	sciclone	1.51	62.73
