NUM_MUTATION	tool	RMSE_mean	MS_mean
100	CLEMENT_decision	1.78	64.75 (104.1-109.4% ↑)
100	pyclonevi	1.23	62.18
100	quantumclone	1.86	59.18
100	sciclone	1.37	60.11
500	CLEMENT_decision	1.38	64.82 (108.3-114.0% ↑)
500	pyclonevi	1.62	59.87
500	quantumclone	2.17	56.84
500	sciclone	1.58	59.74
1000	CLEMENT_decision	1.36	65.96 (104.8-109.1% ↑)
1000	pyclonevi	1.96	62.94
1000	quantumclone	1.75	60.45
1000	sciclone	1.29	61.84
