NUM_CLONE	tool	EC_mean	EC_std	MS_mean	MS_std
2	CLEMENT_decision	2.0	0.0	87.7 (116.2-153.3% ↑)	13.49
2	pyclonevi	4.83	0.94	64.08	9.15
2	quantumclone	5.0	2.8	57.2	17.7
2	sciclone	3.17	0.39	75.45	14.69
3	CLEMENT_decision	3.0	0.0	76.15 (114.8-143.2% ↑)	16.68
3	pyclonevi	3.67	0.65	66.32	16.43
3	quantumclone	3.25	0.75	65.65	17.96
3	sciclone	2.67	1.07	53.17	22.41
4	CLEMENT_decision	4.33	0.65	74.13 (121.8-133.4% ↑)	21.5
4	pyclonevi	4.0	1.41	59.55	25.16
4	quantumclone	3.67	1.3	60.85	23.69
4	sciclone	3.5	1.31	55.58	25.37
5	CLEMENT_decision	5.17	0.39	64.95 (126.4-147.5% ↑)	20.24
5	pyclonevi	3.5	1.17	46.15	16.89
5	quantumclone	3.75	1.66	51.38	21.23
5	sciclone	3.42	1.08	44.03	14.9
6	CLEMENT_decision	6.42	0.51	53.98 (148.2-190.7% ↑)	18.18
6	pyclonevi	2.67	0.89	28.3	14.82
6	quantumclone	3.08	1.44	36.43	18.76
6	sciclone	3.08	1.24	30.22	15.67
7	CLEMENT_decision	6.91	0.3	61.22 (149.1-208.6% ↑)	18.22
7	pyclonevi	2.82	1.4	29.35	12.1
7	quantumclone	3.55	1.86	41.05	17.11
7	sciclone	3.91	1.38	32.31	12.75
