NUM_BLOCK	tool	RMSE_mean
1	CLEMENT_decision	0.39
1	pyclonevi	2.52
1	quantumclone	2.48
1	sciclone	2.32
2	CLEMENT_decision	0.37
2	pyclonevi	2.05
2	quantumclone	1.99
2	sciclone	1.21
3	CLEMENT_decision	0.0
3	pyclonevi	1.89
3	quantumclone	3.27
3	sciclone	0.85
