NUM_CLONE	tool	EC_mean	EC_std	MS_mean	MS_std
2	CLEMENT_decision	2.33	0.5	956.78 (114.6-129.7% ↑)	56.75
2	pyclonevi	3.78	0.67	812.11	119.7
2	quantumclone	4.22	1.72	737.67	163.86
2	sciclone	3.22	0.67	835.0	144.99
3	CLEMENT_decision	3.44	0.53	868.67 (114.6-116.5% ↑)	133.6
3	pyclonevi	4.33	0.87	745.89	160.78
3	quantumclone	3.89	1.69	758.0	137.88
3	sciclone	3.67	0.71	748.44	156.38
4	CLEMENT_decision	4.44	0.73	815.67 (109.9-113.4% ↑)	232.22
4	pyclonevi	4.22	1.2	719.44	230.02
4	quantumclone	4.56	1.51	741.89	191.96
4	sciclone	4.44	1.13	722.22	211.82
5	CLEMENT_decision	4.44	1.01	685.67 (106.3-110.8% ↑)	287.65
5	pyclonevi	4.11	1.36	645.22	234.82
5	quantumclone	4.78	2.05	639.56	232.23
5	sciclone	4.56	1.59	618.78	244.04
6	CLEMENT_decision	6.11	0.93	681.78 (106.1-118.2% ↑)	219.61
6	pyclonevi	4.67	1.87	576.67	273.2
6	quantumclone	5.22	2.49	642.56	295.22
6	sciclone	4.89	2.03	616.0	281.12
7	CLEMENT_decision	6.67	0.5	623.11 (112.4-119.8% ↑)	191.03
7	pyclonevi	4.44	1.59	521.67	213.66
7	quantumclone	5.56	2.55	554.56	243.88
7	sciclone	4.78	1.79	520.22	238.34
