NUM_BLOCK	tool	RMSE_mean
1	CLEMENT_decision	0.1
1	pyclonevi	2.97
1	quantumclone	2.56
1	sciclone	3.07
2	CLEMENT_decision	0.29
2	pyclonevi	2.75
2	quantumclone	3.51
2	sciclone	2.4
3	CLEMENT_decision	0.1
3	pyclonevi	2.62
3	quantumclone	4.01
3	sciclone	2.01
