NUM_CLONE	tool	EC_mean	EC_std	MS_mean	MS_std
2	CLEMENT_decision	2.0	0.0	868.67 (112.9-230.4% ↑)	137.1
2	pyclonevi	5.56	1.33	514.33	107.56
2	quantumclone	7.22	3.46	377.0	164.01
2	sciclone	2.0	0.5	769.11	217.46
3	CLEMENT_decision	3.0	0.0	757.56 (122.7-152.3% ↑)	144.2
3	pyclonevi	4.67	1.5	617.44	107.63
3	quantumclone	6.11	3.66	497.44	167.46
3	sciclone	1.67	0.5	542.22	152.37
4	CLEMENT_decision	4.22	0.44	686.78 (103.4-129.4% ↑)	185.26
4	pyclonevi	3.56	1.24	664.11	204.86
4	quantumclone	4.33	2.74	607.56	118.5
4	sciclone	2.11	1.17	530.78	282.08
5	CLEMENT_decision	5.22	0.44	603.0 (117.0-165.9% ↑)	156.76
5	pyclonevi	2.67	0.87	491.33	189.52
5	quantumclone	2.67	0.87	515.33	169.39
5	sciclone	1.78	0.97	363.44	192.12
6	CLEMENT_decision	6.11	0.33	620.0 (115.2-156.2% ↑)	193.01
6	pyclonevi	2.56	1.13	421.67	172.77
6	quantumclone	3.33	1.12	538.22	176.58
6	sciclone	2.33	0.87	397.0	141.04
7	CLEMENT_decision	7.0	0.0	618.67 (119.5-146.7% ↑)	227.87
7	pyclonevi	3.0	1.58	436.78	218.79
7	quantumclone	3.67	1.58	517.78	222.42
7	sciclone	3.0	1.22	421.78	192.44
