NUM_BLOCK	tool	RMSE_mean
1	CLEMENT_decision	0.58
1	pyclonevi	2.56
1	quantumclone	2.57
1	sciclone	2.62
2	CLEMENT_decision	0.12
2	pyclonevi	1.84
2	quantumclone	2.22
2	sciclone	1.17
3	CLEMENT_decision	0.0
3	pyclonevi	1.86
3	quantumclone	2.58
3	sciclone	0.82
