NUM_CLONE	tool	EC_mean	EC_std	MS_mean	MS_std
2	CLEMENT_decision	2.0	0.0	86.03 (127.0-164.3% ↑)	12.41
2	pyclonevi	5.08	1.0	57.1	8.7
2	quantumclone	5.67	2.67	52.35	17.26
2	sciclone	3.08	0.9	67.73	19.81
3	CLEMENT_decision	3.0	0.0	81.2 (117.4-127.8% ↑)	14.79
3	pyclonevi	4.67	1.37	69.15	11.07
3	quantumclone	5.0	2.17	63.53	10.24
3	sciclone	3.25	0.75	65.37	17.58
4	CLEMENT_decision	4.0	0.0	80.52 (113.5-128.3% ↑)	14.11
4	pyclonevi	4.08	0.9	66.92	11.7
4	quantumclone	4.33	1.5	70.93	14.89
4	sciclone	3.83	0.58	62.78	10.4
5	CLEMENT_decision	5.17	0.39	78.33 (119.4-131.4% ↑)	19.94
5	pyclonevi	4.17	1.4	59.63	17.91
5	quantumclone	4.83	2.37	65.58	23.33
5	sciclone	4.5	1.98	63.43	22.97
6	CLEMENT_decision	6.0	0.85	72.28 (125.3-142.4% ↑)	19.66
6	pyclonevi	3.75	1.22	50.77	14.35
6	quantumclone	4.67	2.74	57.67	22.87
6	sciclone	4.25	1.29	53.23	14.16
7	CLEMENT_decision	6.5	0.67	68.63 (128.9-162.0% ↑)	21.61
7	pyclonevi	3.58	1.24	42.37	11.58
7	quantumclone	4.75	2.63	53.23	21.38
7	sciclone	4.75	1.86	52.33	17.18
